Variable1; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable2; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable3; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable4; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable5; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable6; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable7; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable8; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable9; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable10; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable11; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable12; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable13; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable14; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable15; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable16; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable17; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable18; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable19; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable20; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable21; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable22; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable23; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable24; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable25; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable26; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable27; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable28; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable29; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable30; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable31; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable32; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable33; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable34; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable35; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable36; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable37; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable38; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable39; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable40; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable41; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable42; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable43; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable44; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable45; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable46; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable47; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable48; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable49; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable50; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable51; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable52; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable53; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable54; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable55; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable56; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable57; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable58; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable59; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable60; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable61; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable62; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable63; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable64; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable65; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable66; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable67; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
Variable68; 0.0, 5.6621; 13.333333333333334, 5.6621; 26.666666666666668, 5.6621; 40.0, 5.6621; 53.333333333333336, 5.6621; 66.66666666666667, 5.6621; 80.0, 5.6621; 93.33333333333334, 5.6621; 106.66666666666667, 5.6621; 120.0, 5.6621
